,t,Q,TG,DG,MG,G,ME
282,141.0,5.0,0.06333524,0.076152265,0.06924878,0.44735628,1.5184395
283,141.5,5.0,0.063096166,0.07587786,0.06902903,0.44812635,1.5200045
284,142.0,5.0,0.06285897,0.07560569,0.068810776,0.44888958,1.521555
285,142.5,5.0,0.06262343,0.075335756,0.068593934,0.4496457,1.5230907
286,143.0,5.0,0.06238979,0.07506806,0.06837863,0.45039496,1.524612
287,143.5,5.0,0.062158123,0.074802354,0.06816454,0.45113748,1.526119
288,144.0,5.0,0.061928168,0.07453892,0.06795198,0.45187324,1.5276117
289,144.5,5.0,0.061699793,0.074277624,0.067740604,0.4526023,1.5290903
290,145.0,5.0,0.061473295,0.074018374,0.06753078,0.45332468,1.5305547
291,145.5,5.0,0.0612486,0.07376124,0.067322254,0.45404056,1.5320053
292,146.0,5.0,0.061025575,0.07350615,0.067114934,0.45474988,1.5334421
293,146.5,5.0,0.06080441,0.07325308,0.066908985,0.4554528,1.5348656
294,147.0,5.0,0.060584992,0.07300204,0.06670435,0.45614934,1.5362751
295,147.5,5.0,0.060367227,0.07275292,0.06650099,0.45683968,1.5376716
296,148.0,5.0,0.06015092,0.07250585,0.0662989,0.4575235,1.5390546
297,148.5,5.0,0.059936628,0.07226083,0.066098094,0.45820135,1.5404248
298,149.0,5.0,0.05972393,0.07201773,0.06589863,0.45887288,1.5417817
299,149.5,5.0,0.05951284,0.07177663,0.06570038,0.4595384,1.5431261
300,150.0,5.0,0.05930373,0.071537405,0.06550339,0.4601978,1.5444572
301,150.5,5.0,0.05909589,0.07130028,0.06530778,0.46085116,1.5457758
302,151.0,5.0,0.05889024,0.07106504,0.065113425,0.46149856,1.5470817
303,151.5,5.0,0.058686092,0.0708317,0.06492035,0.46214008,1.5483754
304,152.0,5.0,0.058483467,0.07060039,0.06472862,0.46277577,1.5496567
305,152.5,5.0,0.058282763,0.0703709,0.06453803,0.4634057,1.550926
306,153.0,5.0,0.05808343,0.07014343,0.06434907,0.46402973,1.5521829
307,153.5,5.0,0.05788614,0.06991786,0.06416114,0.4646482,1.553428
308,154.0,5.0,0.057690546,0.069694355,0.06397469,0.46526086,1.5546613
309,154.5,5.0,0.057496622,0.06947264,0.06378953,0.46586812,1.5558828
310,155.0,5.0,0.057304323,0.069253,0.063605875,0.46646965,1.5570925
311,155.5,5.0,0.057113737,0.06903528,0.063423395,0.46706572,1.5582911
312,156.0,5.0,0.056924984,0.06881943,0.06324227,0.46765625,1.559478
313,156.5,5.0,0.056737885,0.068605736,0.06306271,0.46824136,1.5606533
314,157.0,5.0,0.05655247,0.06839374,0.062884375,0.46882117,1.5618179
315,157.5,5.0,0.05636871,0.06818396,0.06270753,0.46939558,1.5629714
316,158.0,5.0,0.056186885,0.06797604,0.06253213,0.46996468,1.5641139
317,158.5,5.0,0.056006506,0.06776996,0.062358037,0.47052866,1.565246
318,159.0,5.0,0.055828184,0.06756599,0.06218554,0.4710872,1.5663664
